date,game_label,player,rw_team,rw_projected,our_projected,actual_minutes,proj_source,rw_date_source
2026-07-18,Minnesota Lynx vs Portland Fire,Bridget Carleton,Portland Fire,30.0,34.4,32.4,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Shakira Austin,Washington Mystics,29.0,30.6,31.4,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Veronica Burton,Golden State Valkyries,29.0,27.9,32.5,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Sarah Ashlee Barker,Portland Fire,28.0,24.8,30.1,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Janelle Salaun,Golden State Valkyries,18.0,21.2,17.9,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Pauline Astier,New York Liberty,23.0,27.5,22.6,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Dorka Juhasz,Minnesota Lynx,25.0,12.4,21.3,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Michaela Onyenwere,Washington Mystics,25.0,25.2,33.6,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Marine Johannes,New York Liberty,22.0,25.1,17.7,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Cecilia Zandalasini,Golden State Valkyries,19.0,18.0,25.8,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Nia Coffey,Minnesota Lynx,27.0,29.3,19.9,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Sophie Cunningham,Indiana Fever,21.0,23.5,21.6,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Kayla Thornton,Golden State Valkyries,25.0,26.3,27.3,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Tiffany Hayes,Golden State Valkyries,18.0,17.3,12.1,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Emily Engstler,Portland Fire,21.0,28.0,28.7,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Frieda Buhner,Portland Fire,18.0,17.9,16.8,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Rebekah Gardner,New York Liberty,20.0,0.0,,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Cotie McMahon,Washington Mystics,22.0,14.9,17.6,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Monique Billings,Indiana Fever,19.0,26.1,17.8,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Lexie Hull,Indiana Fever,20.0,19.4,18.6,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Georgia Amoore,Washington Mystics,21.0,21.8,25.4,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Kaila Charles,Golden State Valkyries,18.0,18.9,14.6,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Lauren Betts,Washington Mystics,14.0,15.0,20.5,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Kiah Stokes,Golden State Valkyries,24.0,21.6,21.8,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Kaitlyn Chen,Golden State Valkyries,10.0,15.1,7.5,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Betnijah Laney-Hamilton,New York Liberty,15.0,0.0,,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Raven Johnson,Indiana Fever,15.0,0.0,3.5,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Anastasiia Kosu,Minnesota Lynx,11.0,11.7,13.5,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Myisha Hines-Allen,Indiana Fever,15.0,11.1,14.3,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Luisa Geiselsoder,Portland Fire,14.0,14.2,11.4,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Han Xu,New York Liberty,9.0,18.0,12.8,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Anneli Maley,New York Liberty,11.0,6.6,13.6,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Serah Williams,Portland Fire,11.0,16.3,23.1,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Maya Caldwell,Minnesota Lynx,12.0,0.0,8.2,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Laeticia Amihere,Golden State Valkyries,11.0,11.5,13.1,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Nyadiew Puoch,Portland Fire,15.0,19.7,7.7,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Teja Oblak,Portland Fire,7.0,15.6,9.8,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Tyasha Harris,Indiana Fever,10.0,15.6,20.7,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Angela Dugalic,Washington Mystics,8.0,8.0,3.5,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Cassandre Prosper,Washington Mystics,9.0,13.1,6.6,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Antonia Delaere,Minnesota Lynx,7.0,12.6,10.3,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Alicia Florez,Washington Mystics,7.0,13.1,7.3,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Karlie Samuelson,Portland Fire,6.0,0.0,,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Juste Jocyte,Golden State Valkyries,4.0,0.0,,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Makayla Timpson,Indiana Fever,6.0,17.6,24.0,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Marine Fauthoux,New York Liberty,2.0,0.0,15.1,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Rebecca Allen,New York Liberty,3.0,15.7,17.8,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Holly Winterburn,Portland Fire,2.0,0.0,,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Damiris Dantas,Indiana Fever,1.0,0.0,,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Raquel Carrera,New York Liberty,1.0,0.0,7.9,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Bree Hall,Indiana Fever,1.0,0.0,,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Lucy Olsen,Washington Mystics,1.0,0.0,,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Grace VanSlooten,Indiana Fever,1.0,0.0,,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Rori Harmon,Washington Mystics,1.0,0.0,,replay,inferred
2026-07-19,Connecticut Sun vs Phoenix Mercury,Kahleah Copper,Phoenix Mercury,34.0,32.3,34.8,replay,inferred
2026-07-19,Dallas Wings vs Los Angeles Sparks,Paige Bueckers,Dallas Wings,33.0,34.7,32.0,replay,inferred
2026-07-19,Atlanta Dream vs Chicago Sky,Allisha Gray,Atlanta Dream,35.0,32.8,34.9,replay,inferred
2026-07-19,Atlanta Dream vs Chicago Sky,Rhyne Howard,Atlanta Dream,35.0,34.6,34.6,replay,inferred
2026-07-19,Dallas Wings vs Los Angeles Sparks,Nneka Ogwumike,Los Angeles Sparks,30.0,35.8,32.7,replay,inferred
